	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_gbr__learning_rate	param_gbr__max_depth	param_gbr__min_samples_leaf	param_gbr__n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score
10	28.34942762851715	0.4197115398484727	0.1490931272506714	0.02185414287630674	0.05	12	20	300	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 300}	-13206.578755292976	-12103.340071639614	-13354.55754286849	-13612.463233215844	-12619.894347773905	-14837.853758508656	-12739.03865796198	-13277.874776791316	-13046.458995935529	-14320.576421795435	-13311.841042820559	760.9189951949377	7
11	35.88876059055328	0.21805932357789046	0.14969873428344727	0.01581599618673251	0.05	12	20	500	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 500}	-13549.345083620337	-12112.89475848114	-13182.124530741607	-14021.18536343504	-12584.897691587623	-14983.6197448405	-13103.009960736483	-13617.732921090166	-13514.150215445101	-14521.839978959859	-13518.967299085856	809.4606272914206	25
12	38.792759490013125	0.5195489201613062	0.14089639186859132	0.02490387836071721	0.05	16	5	300	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 300}	-13717.400345860991	-11634.472403978565	-14133.270629504845	-13116.842434147628	-12856.146930924871	-14341.648721609308	-12481.51039986778	-13662.716838700173	-12630.738803289758	-14859.302826376283	-13343.361851064436	928.4276159755703	12
13	53.536124396324155	1.0147689820572507	0.16643121242523193	0.027009253237439346	0.05	16	5	500	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 500}	-13617.261379567972	-11597.57620478894	-14220.272708846273	-13184.62689765873	-12928.825982833023	-14167.227244027275	-12396.61995737585	-13698.206584354164	-12747.045035513074	-14847.301725593235	-13340.442165989816	916.8790641462778	10
14	35.40165638923645	1.0812111826894506	0.14256603717803956	0.027959467496342535	0.05	16	10	300	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 300}	-13786.72009977751	-12394.44234306888	-13921.53884140162	-13200.946731984906	-12951.402869219031	-14586.83101893329	-12377.324308863528	-13446.176812842132	-12735.298124544955	-14186.001859689306	-13358.782593957996	719.2158875499908	14
15	45.38730084896088	0.387500149419991	0.15631260871887206	0.03041980401619885	0.05	16	10	500	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 500}	-14111.157711843982	-12443.359454986377	-13597.75357867446	-13082.61104347405	-13003.28438141201	-14386.845015034378	-12842.771048825824	-13696.281304920354	-12591.784201401693	-14293.543545422326	-13404.971497124037	673.914867966388	16
16	33.03079855442047	1.3963103069937781	0.14384822845458983	0.019434113985559866	0.05	16	20	300	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 300}	-13986.150870007135	-12566.127660563212	-13529.371835435446	-13109.131462802725	-12601.339552272591	-14656.5334399407	-12669.22550272003	-12827.893239287456	-13008.29976347135	-14208.992834561777	-13316.397871097028	704.0525900365856	9
17	42.59269468784332	0.43382212221026556	0.15147194862365723	0.014549755334827932	0.05	16	20	500	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 500}	-13953.004335815083	-12327.973468872839	-13826.600749033787	-13130.9852968614	-12565.1622557485	-14683.593809063881	-12506.582219496479	-12912.7529909316	-13020.157063687802	-14214.59958611487	-13314.240990824721	763.2001721827703	8
18	28.15257911682129	0.14664601330078164	0.14390914440155028	0.03007645705629013	0.01	8	5	300	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 300}	-14249.38715897037	-12287.080371566892	-14105.15824194482	-13023.966595452363	-13127.317725143914	-15233.247811925408	-12886.521299763335	-14603.73442664479	-13845.555632015356	-14742.690378550338	-13810.327356199055	898.0226419861661	34
19	35.32595705986023	0.20144299220148962	0.14253242015838624	0.024836846973988483	0.01	8	5	500	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 500}	-14088.958067742416	-12602.374581867254	-13425.702475975206	-12943.220143806986	-13172.479860806845	-14773.59290796625	-12766.004515965767	-14406.671785614228	-13557.984792931566	-14453.09204487218	-13618.890867809812	729.9653809157282	30
