,perc_imputed,feature,mae,imputer
299,50,surface_lat,0.208376328885,KNN
300,50,surface_lng,0.214984194874,KNN
301,50,total_lbs_proppant,640868.786939,KNN
302,50,total_volume_bbls,17146.0945323,KNN
303,50,tvd,87.9585788318,KNN
304,60,GRElev,66.4539719956,KNN
305,60,KBElev,44.6311407753,KNN
306,60,TD,794.159843,KNN
307,60,bh_lat,0.232631580291,KNN
308,60,bh_lng,0.237309553874,KNN
309,60,legs,0.371345372139,KNN
310,60,max_tvd,85.794208705,KNN
311,60,mean_tvd,89.9445624348,KNN
312,60,min_tvd,105.115467395,KNN
313,60,num_pools_produced,0.224124995986,KNN
314,60,std_tvd,24.9536747934,KNN
315,60,surface_lat,0.233023949673,KNN
316,60,surface_lng,0.237609769299,KNN
317,60,total_lbs_proppant,735664.180832,KNN
318,60,total_volume_bbls,17483.7312781,KNN
319,60,tvd,91.0334467192,KNN
320,70,GRElev,71.387988033,KNN
321,70,KBElev,48.1764754778,KNN
322,70,TD,786.059373661,KNN
323,70,bh_lat,0.259794258614,KNN
324,70,bh_lng,0.270077432152,KNN
325,70,legs,0.387326793423,KNN
326,70,max_tvd,88.2096967943,KNN
327,70,mean_tvd,92.9012255691,KNN
328,70,min_tvd,107.785568058,KNN
329,70,num_pools_produced,0.246666983571,KNN
330,70,std_tvd,25.8650651211,KNN
331,70,surface_lat,0.261134728272,KNN
332,70,surface_lng,0.270244100528,KNN
333,70,total_lbs_proppant,731514.453987,KNN
334,70,total_volume_bbls,17388.7761867,KNN
335,70,tvd,93.3429482381,KNN
336,10,GRElev,43.8591761144,MICE
337,10,KBElev,47.5006300668,MICE
338,10,TD,1057.80110382,MICE
339,10,bh_lat,0.14527248861,MICE
340,10,bh_lng,0.125485451534,MICE
341,10,legs,0.814651689265,MICE
342,10,max_tvd,62.9917358627,MICE
343,10,mean_tvd,69.5112391503,MICE
344,10,min_tvd,135.695898185,MICE
345,10,num_pools_produced,0.57317798901,MICE
346,10,std_tvd,23.4709325127,MICE
347,10,surface_lat,0.148184085498,MICE
348,10,surface_lng,0.125953785559,MICE
349,10,total_lbs_proppant,882792.572311,MICE
350,10,total_volume_bbls,24323.1855561,MICE
351,10,tvd,85.8092295077,MICE
352,20,GRElev,47.2926723636,MICE
353,20,KBElev,51.5094107005,MICE
354,20,TD,1036.72034831,MICE
355,20,bh_lat,0.154929903241,MICE
356,20,bh_lng,0.132641437268,MICE
357,20,legs,0.799093604873,MICE
358,20,max_tvd,62.4632481273,MICE
359,20,mean_tvd,70.5084700769,MICE
360,20,min_tvd,138.108530228,MICE
361,20,num_pools_produced,0.569356491248,MICE
362,20,std_tvd,24.4891527885,MICE
363,20,surface_lat,0.155849243008,MICE
364,20,surface_lng,0.132862015579,MICE
365,20,total_lbs_proppant,924028.776382,MICE
366,20,total_volume_bbls,22602.2325937,MICE
367,20,tvd,84.5058301512,MICE
368,30,GRElev,59.9090840014,MICE
369,30,KBElev,60.8228466036,MICE
370,30,TD,1038.29541146,MICE
371,30,bh_lat,0.166705096738,MICE
372,30,bh_lng,0.144727421306,MICE
373,30,legs,0.838260749812,MICE
374,30,max_tvd,62.7559249892,MICE
375,30,mean_tvd,71.3972837403,MICE
376,30,min_tvd,138.204044772,MICE
377,30,num_pools_produced,0.584489244054,MICE
378,30,std_tvd,23.7311993102,MICE
379,30,surface_lat,0.167234170033,MICE
380,30,surface_lng,0.144390553326,MICE
381,30,total_lbs_proppant,915712.735151,MICE
382,30,total_volume_bbls,22614.9956076,MICE
383,30,tvd,84.1353365126,MICE
384,40,GRElev,59.7296268064,MICE
385,40,KBElev,62.5522118964,MICE
386,40,TD,1048.88831208,MICE
387,40,bh_lat,0.178471064459,MICE
388,40,bh_lng,0.154933163663,MICE
389,40,legs,0.881418164625,MICE
390,40,max_tvd,63.6551526289,MICE
391,40,mean_tvd,71.40272377,MICE
392,40,min_tvd,140.157412911,MICE
393,40,num_pools_produced,0.599761894212,MICE
394,40,std_tvd,23.8733711331,MICE
395,40,surface_lat,0.179511982183,MICE
396,40,surface_lng,0.155675505614,MICE
397,40,total_lbs_proppant,909168.363217,MICE
398,40,total_volume_bbls,23635.8466006,MICE
399,40,tvd,83.8342714258,MICE
400,50,GRElev,75.5893078627,MICE
401,50,KBElev,72.2952828754,MICE
402,50,TD,1034.76822,MICE
403,50,bh_lat,0.193264043771,MICE
404,50,bh_lng,0.170531388451,MICE
405,50,legs,0.928875672267,MICE
406,50,max_tvd,62.8129461737,MICE
407,50,mean_tvd,70.5851726336,MICE
408,50,min_tvd,138.114178024,MICE
409,50,num_pools_produced,0.604379224229,MICE
410,50,std_tvd,24.7773915339,MICE
411,50,surface_lat,0.195646887189,MICE
412,50,surface_lng,0.170669746576,MICE
413,50,total_lbs_proppant,895066.341689,MICE
414,50,total_volume_bbls,23564.3657849,MICE
415,50,tvd,83.1917288677,MICE
416,60,GRElev,74.4406012894,MICE
417,60,KBElev,73.0827982806,MICE
418,60,TD,1047.91539259,MICE
419,60,bh_lat,0.214844176265,MICE
420,60,bh_lng,0.189089076374,MICE
421,60,legs,0.987292956039,MICE
422,60,max_tvd,63.1447914264,MICE
423,60,mean_tvd,71.2564775431,MICE
424,60,min_tvd,138.614206542,MICE
425,60,num_pools_produced,0.615715346592,MICE
426,60,std_tvd,24.699390506,MICE
427,60,surface_lat,0.217941371225,MICE
428,60,surface_lng,0.189722419894,MICE
429,60,total_lbs_proppant,982309.417519,MICE
430,60,total_volume_bbls,23771.3921522,MICE
431,60,tvd,81.4768030388,MICE
432,70,GRElev,78.8673088719,MICE
433,70,KBElev,77.1329528761,MICE
434,70,TD,1039.20665581,MICE
435,70,bh_lat,0.24205114669,MICE
436,70,bh_lng,0.218685563201,MICE
437,70,legs,1.0436712888,MICE
438,70,max_tvd,62.2949015838,MICE
439,70,mean_tvd,70.6021982914,MICE
