api	bakken_isopach_ft	choke_size	fluid_per_ft	length	min_dist	production_liquid_180	prop_per_ft	spud_year	stage_spacing	std_tvd	stimulated_formation	surface_lat	surface_lng	total_lbs_proppant	total_num_stages	total_volume_bbls	tvd
33025018540000	90.0	0.5625	6.243491519460775	10152.812701421695	42.3296790680738	63612.0	324.1584471994786	2013.0	0.002954846197034553	63.9129529113	1.0	47.7324747275	-102.356434114	3291120.0	30.0	63389.0	10201.57
33053047480000	80.0	0.40625	5.531656853593862	9901.915727909602	10.714570636477216	71136.0	277.74625391409995	2013.0	0.0030297167562678617	103.798677905	1.0	47.9915845728	-103.358345751	2750220.0	30.0	54774.0	11222.87
33061017480000	110.0	0.75	2.8411686516489203	10268.309831965933	673.0887349159796	138527.0	259.5714429752165	2011.0	0.002921610322529225	128.164288889	1.0	48.1212698374	-102.37572671299999	2665360.0	30.0	29174.0	10087.66
33013016010000	80.0	1.0	4.233603480266861	5810.652819675347	8269.948322931054	30229.0	332.66485883560335	2011.0	0.003441954048997448	162.928627979	1.0	48.9822172221	-102.469884259	1933000.0	20.0	24600.0	6832.99
33025021870000	70.0	0.5	6.44545390555433	9377.772440186525	1580.6872406935827	76217.0	357.47401863094495	2013.0	0.0031990539535211087	114.436059753	1.0	47.5052943691	-102.603547089	3352310.0	30.0	60444.0	10786.35
33061015320000	120.0	0.625	2.8574927067251608	9888.039235761249	885.0408732369706	38599.0	170.37351489335018	2011.0	0.0026294394045250106	124.844897254	1.0	48.17275691729999	-102.506666079	1684660.0	26.0	28255.0	10396.44
33053036570000	90.0	0.34375	6.271518838749071	10157.02920422156	1783.203976554943	84789.0	282.6245688854457	2011.0	0.002362895637833245	92.2791659117	1.0	47.848955856	-103.18751577	2870626.0	24.0	63700.0	11030.92
33061007900000	90.0			5359.476081714465	4598.26656837317	165512.0		2008.0		122.48128941200001	1.0	48.152370586	-102.307249418				9652.34
33061018930000	110.0	0.296875	3.44724682458096	5501.781846533564	1248.755851373973	53594.0	25.025892309189004	2012.0	0.0032716673437971785	126.858725493	1.0	47.9336368417	-102.486967655	137687.0	18.0	18966.0	10190.96
33053030480000	90.0	0.3125	6.4716274023331595	4963.820999400957	147.30464838824136	28070.0	178.6194546715123	2010.0	0.002014577077055522	132.234900738	0.0	47.7744947687	-102.726987757	886635.0	10.0	32124.0	10966.71
33053032620000	90.0	0.25	6.499985545678306	4769.241374792165	2653.843692926744	52965.0	323.0702493155204	2011.0	0.0025161234370367634	136.559443743	1.0	48.0388576826	-102.85464174	1540800.0	12.0	31000.0	10447.57
33023011750000	110.0	0.375	7.2060863251996965	10815.02447833086	320.01427906461385	61303.0	532.5990719245216	2014.0	0.002773918825621563	118.45767465700001	1.0	48.6489079066	-102.96778999700001	5760072.0	30.0	77934.0	9227.29
33055001550000	90.0	0.40625	2.08623535125735	9930.327365756746	1204.0465083682948	56152.0	220.300894363646	2011.0	0.003021048440301226	110.33807979	1.0	47.8193894932	-102.240674663	2187660.0	30.0	20717.0	9726.94
33105023470000	100.0	0.375	5.215223492849394	10040.796923046113	387.95015328767505	62339.0	299.0829336571185	2012.0	0.002987810651875906	62.9797822975	0.0	48.5906551705	-102.954598478	3003031.0	30.0	52365.0	9378.46
33053050250000	90.0	0.4375	3.4588975680382306	10913.014698324478	132.0039224961778	102083.0	226.56562538852035	2013.0	0.0032071797727326163	128.977636757	1.0	48.0227272473	-102.82635466299999	2472514.0	35.0	37747.0	10542.34
33061024020000	110.0	0.46875			2684.5293780116867	51161.0		2013.0		184.479576379	0.0	47.918805471300004	-102.487247487	9184877.0	44.0	134258.0	10312.92
33025015140000	90.0		0.16942248122234443	9573.699949957298	1920.4204036702777	58880.0	165.18357670140412	2012.0	0.002402414961845821	104.795449222	1.0	47.6734490933	-102.644692518	1581418.0	23.0	1622.0	10979.03
33007015860000	30.0			4798.567395582646	9260.982289381822	5518.0		2007.0		111.62580115600001	1.0	47.225272466499995	-103.25644219899999				11091.24
33053047920000	90.0	0.46875	4.817520840437976	10048.737017108346	840.0129813925009	103557.0	348.30247761894066	2013.0	0.0029854498081623485	136.798813385	1.0	47.759811348999996	-102.904279075	3500000.0	30.0	48410.0	10921.6
33053048560000	60.0	0.28125	5.870894770158236	12704.87769243216	739.6346533438615	54354.0	298.21192235930147	2013.0	0.0032271070208273024	88.46791395700001	1.0	48.075411635500004	-103.669167886	3788746.0	41.0	74589.0	10518.26
33089006230000	40.0	0.75	5.652081674683626	10056.648730784957	858.6789552463586	87750.0	322.870976895159	2012.0	0.003082537814521075	101.614608977	1.0	46.918804992700004	-103.180293853	3247000.0	31.0	56841.0	10558.77
33013016740000	100.0	0.4375	2.0573535611212366	9910.304376117154	5952.291975180113	9949.0	103.15878919558975	2012.0	0.004036202974390576	145.119675229	1.0	48.762850963999995	-102.689642409	1022335.0	40.0	20389.0	8719.01
33061019460000	120.0	0.375	5.926579974109979	9825.734277507174	560.9331297209889	36212.0	295.6531204645005	2013.0	0.0032567540599233997	133.155497495	1.0	48.5022374997	-102.80786791700001	2905009.0	32.0	58233.0	9754.58
33053047650000	90.0	0.578125	9.53756702117886	10641.393111537504	598.9460594830791	57960.0	350.7096261629209	2013.0	0.002819179752646644	78.3806247045	0.0	47.73140455229999	-103.248994216	3732039.0	30.0	101493.0	11367.63
33007018090000	40.0	0.59375	10.588550656173435	8977.338172772397	10958.05357854944	40016.0	356.49097075415904	2013.0	0.004455663720156721	119.359831141	1.0	47.298019905299995	-103.06364724	3200340.0	40.0	95057.0	11053.0
33061027070000	130.0				3806.3956537066733	83329.0		2014.0		196.72629814299998	1.0	48.0208610643	-102.569521277	2392304.0	32.0	54154.0	10294.35
33025014610000	60.0	0.4375	1.8337025766030317	10049.06697253835	1635.1181963534655	9133.0	216.90570935158345	2012.0	0.001990234521737702	72.6558593369	1.0	47.3856600335	-102.79793338	2179700.0	20.0	18427.0	10842.18
33061023390000	110.0	0.625	4.608337217146549	8520.426815534263	649.01155457292	48730.0	223.5138029151166	2013.0	0.0030514903258833637	158.335626649	0.0	48.0367141778	-102.388223789	1904433.0	26.0	39265.0	10008.44
33025022400000	100.0	0.28125	14.69065876576564	10454.602645723868	251.49085835732075	133312.0	500.4431232152052	2014.0	0.0033478077729061917	102.70911033700001	1.0	47.789530293199995	-102.63106978299999	5231934.0	35.0	153585.0	10786.95
33053029020000	90.0			9700.14813506564	699.0368786676239	34930.0		2008.0		63.9355767765	1.0	48.03898232270001	-102.843799174				10478.72
33053028680000	90.0	0.40625	3.6188241602464024	9550.616020438723	2343.0456882140497	59250.0	231.49700451452523	2010.0	0.0020941057579112335	93.4128401732	1.0	47.9064959578	-103.020404935	2210939.0	20.0	34562.0	10775.05
33061014720000	130.0	0.375	3.4988706834182737	10035.237988760651	1165.056845744368	48972.0	107.49162114621853	2010.0	0.002192274864297164	180.746716761	1.0	48.139840612600004	-102.619232231	1078704.0	22.0	35112.0	10645.74
33025009300000	80.0	0.28125	11.388398494986617	3825.911081279844	3338.8773809127506	49024.0	377.57176508053266	2009.0	0.007057142580262989	131.055182377	1.0	47.63248948020001	-102.67611974200001	1444556.0	27.0	43571.0	10953.93
33013015390000	80.0		5.4967027657555745	9969.431190894556	5031.330853803045	58450.0	381.993107438087	2011.0	0.0037113451401112477	112.47117122	1.0	48.5742859088	-102.33619442700001	3808254.0	37.0	54799.0	8726.19
33053037730000	80.0	0.3125		10742.086865029243	6818.913167526062	91861.0		2011.0	0.0027927534358025627	93.76146514979999	1.0	48.0086836631	-103.35592754299999		30.0		10965.3
33025006910000	80.0				1606.2209847028319	24412.0		2008.0		211.272807815	1.0	47.6627227059	-102.913162291		5.0		10562.75
33061014910000	130.0	0.625	4.419921988976016	6176.353353766881	1799.7389722327928	38394.0	270.64513706627747	2010.0	0.0035619723710565354	129.04116176899998	1.0	48.163199070299996	-102.546438889	1671600.0	22.0	27299.0	10461.66
33053033990000	50.0	0.5	6.143268446158031	9984.26172282268	4296.587114217609	31295.0	249.95718955316514	2011.0	0.002403783140533989	83.9994642832	1.0	48.025152966099995	-103.702247059	2495638.0	24.0	61336.0	10691.11
33105023840000	90.0	0.375	5.8231277652207885	10034.985038282839	4795.100001211016	38160.0	326.6900735271031	2012.0	0.0029895410790899916	94.67284460110001	1.0	48.4603234679	-103.349572764	3278330.0	30.0	58435.0	10199.61
33061008440000	130.0			9176.965096462773	1005.8666174009944	31892.0		2008.0		95.76290897870001	1.0	48.0226817037	-102.572368006				10368.54
33023006540000	100.0	0.375	9.698497866424132	4215.8074954627145	3266.3642255005543	38962.0	369.2768234022816	2010.0	0.00379523970608717	168.918835425	0.0	48.8785000612	-103.573143	1556800.0	16.0	40887.0	8487.58
33061010500000	90.0	0.28125		5362.007746825703	2550.9887144597533	61951.0		2009.0	0.0014919784486950773	123.351650351	1.0	47.8920999748	-102.237529771		8.0		9763.96
33105026040000	90.0		19.042573410433253	10070.382603589342	4978.770498680659	58533.0		2012.0	0.0033762371638076127	107.12557970299999	1.0	48.4589366261	-103.432228263		34.0	191766.0	10396.33
33023009120000	110.0	0.4375	6.6369619593252285	10077.954402920868	5214.322069973513	45549.0	296.49618171858106	2013.0	0.002480662146353263	123.45770539799999	1.0	48.806588169399994	-103.25989036899999	2988075.0	25.0	66887.0	8673.8
33053041500000	90.0	0.25	21.015598886147867	4615.619118232037	2665.5887278269583	78265.0		2013.0	0.0071496367344626765	161.659267705	1.0	47.7598566993	-103.054324257		33.0	97000.0	10947.19
33105017470000	70.0	0.03125		2621.301975951864	6124.9781224269655	59355.0		2009.0		182.741044694	1.0	48.2548463029	-103.947634775				10556.21
33061007710000	90.0			5851.784471579136	8889.459673421894	6265.0		2008.0	0.0018797684797559862	108.139805831	1.0	48.533266660600006	-102.583371328		11.0		9271.49
33105024180000	60.0		7.841390262124663	10678.336009424958	1179.389921499877	63301.0	389.3265763814337	2011.0	0.0029967215839392975	108.92127127399999	1.0	48.124711051700004	-103.78039965399999	4157360.0	32.0	83733.0	10575.23
33053035580000	90.0	0.59375	5.0356616748370335	4885.951755445573	2556.7249396256507	90246.0	269.7140835521456	2011.0	0.0020466841468204495	152.396853874	0.0	47.9927017438	-103.01478732	1317810.0	10.0	24604.0	10735.6
33105022480000	80.0		7.35589520732647	10068.9308252013	9281.36120267976	47159.0	447.8100086569873	2011.0	0.0035753547844321674	105.17675352100001	1.0	48.3420358363	-103.726139457	4508968.0	36.0	74066.0	10407.69
33105016120000	100.0	0.59375		9787.652406301018	7212.160825443257	37183.0		2008.0		90.9678374193	1.0	48.467826299799995	-102.94624342				9546.84
33105032790000	90.0	0.71875	8.615114684458012	10006.48315866539	288.94580579722754	51503.0	375.37863607427323	2014.0	0.002998056312523813	78.3574655971	1.0	48.2538627841	-103.03086494700001	3756220.0	30.0	86207.0	9742.61
33061018110000	120.0	0.53125	5.014076517291023	3857.140977666792	2145.256523395613	43337.0	450.2817008909539	2011.0	0.004666668940601779	95.46674778030001	1.0	48.0344505556	-102.458894468	1736800.0	18.0	19340.0	10419.44
33025012660000	90.0		7.7900317614917105	4855.692654166626	5293.218309647667	66654.0		2011.0	0.0020594384184137128	156.622779774	1.0	47.6746396121	-102.476586232		10.0	37826.0	10517.82
33053043640000	40.0	0.75	3.3582261777309492	10237.249720692977	2369.7776125436844	26633.0	208.354788463206	2012.0	0.002930474572614924	132.894738426	1.0	47.81919930229999	-104.040462301	2132980.0	30.0	34379.0	10274.46
33105031270000	90.0	0.625	8.420968866108957	10025.330973466595	122.00755928472236	36043.0	349.88809938382315	2013.0	0.002194441266650049	113.229101185	0.0	48.1679092875	-103.192858148	3507744.0	22.0	84423.0	11123.52
33025018350000	70.0		4.871154460490263	9526.69441636417	379.3608208591912	74097.0	298.2224343335541	2013.0	0.0031490461107336956	92.1322364816	1.0	47.4724421865	-102.80734167899999	2841074.0	30.0	46406.0	10958.37
33089006400000	30.0	0.75	3.239278238936332	9992.658120850054	1307.513396027267	25085.0	191.22349397834193	2012.0	0.003002204182028792	106.05638691600001	1.0	46.86069416189999	-103.187026316	1910831.0	30.0	32369.0	10387.56
33105022580000	90.0	0.5	6.17543064284108	9885.140572466298	3853.945661854604	46943.0	193.2757542489175	2011.0	0.0024278865661100163	125.655531592	1.0	48.458461806	-103.520766682	1910558.0	24.0	61045.0	10164.56
33025009060000	60.0	0.25			4541.9209203806395	18412.0		2009.0		100.423631961	1.0	47.3735186471	-102.92344776700001				10912.17
33025008060000	70.0	0.1875		9652.403541128046	987.7804756454178	29178.0		2009.0		126.24177616700001	1.0	47.4435218704	-102.62361598				10714.37
33053041590000	90.0		7.624472987231967	4736.065044819522	2045.661643157548	46969.0	352.973192762327	2012.0	0.004222914974927702	147.870886859	1.0	47.9479902018	-103.00247265200001	1671704.0	20.0	36110.0	10512.85
33013015300000	110.0	0.34375	1.7896537219853093	10058.929154199683	1393.1042847667516	51791.0	346.79009529991487	2011.0	0.0026841823404956866	84.443632834	1.0	48.5905252414	-102.85718194799999	3488337.0	27.0	18002.0	9097.56
33025018450000	90.0	0.25	14.410485801145084	9793.354779808033	275.289370285913	91347.0	604.2666821589404	2014.0	0.003573851942151948	117.819947448	1.0	47.704451346199995	-102.61134746200001	5917798.0	35.0	141127.0	10822.52
33105029640000	80.0	0.75	20.42628288330571	8479.320539595397	1113.0022892668842	36988.0	494.49740464700903	2013.0	0.0041276892218618825	65.93214085380001	0.0	48.2860830942	-103.587939691	4193002.0	35.0	173201.0	10407.41
33061021080000	140.0	0.4375	3.953819137471023	10088.22068313243	303.0405998702359	59952.0	163.18348415518992	2012.0	0.002973765239906002	143.401786702	1.0	48.239603799499996	-102.645144659	1646231.0	30.0	39887.0	10671.7
33053055080000	90.0	0.5	8.662935614882334	10816.541201001726	314.8264644713788	86188.0	649.2297185859792	2014.0	0.0027735298597320263	122.670063897	1.0	47.84873912729999	-102.969159244	7022420.0	30.0	93703.0	10870.75
33025008970000	80.0	0.3125		4447.713569780329	4025.5200957601905	27098.0		2009.0		175.74465378	1.0	47.67328047220001	-102.724428314				11173.44
33105031350000	90.0	0.53125	10.306255142575944	10563.972897413425	171.5877985900903	48577.0	406.578002585717	2013.0	0.0024611952579285837	75.7099275857	0.0	48.1970652157	-103.393361356	4295079.0	26.0	108875.0	11238.36
33053040330000	50.0	0.46875	6.388876664553882	10680.90739309411	5292.563971519452	41709.0	313.70752284271555	2012.0	0.001966125089107864	147.748614005	1.0	47.6737006779	-103.55141072	3350681.0	21.0	68239.0	11078.77
33053035210000	110.0	0.375	7.311643650717356	9842.109850763816	1597.6035750576398	92634.0	325.51323329838345	2011.0	0.0024385015371615093	108.173208227	1.0	47.964131198800004	-102.68782438299999	3203737.0	24.0	71962.0	10830.22
33053038810000	90.0		6.244907871638393	9934.654165478207	3449.964788100631	25683.0	12.482065096025513	2012.0	0.0025164439127505975	119.344280017	1.0	47.9045082856	-103.169171815	124005.0	25.0	62041.0	11125.21
33025011670000	90.0	0.5625	12.259953040458464	10056.726937951578	2065.449913407618	89202.0	426.6048015890413	2011.0	0.0029830779124356537	86.13805339700001	0.0	47.6528231216	-102.522997369	4290248.0	30.0	123295.0	10328.29
33023008330000	110.0		5.749641596624311	9952.794280881357	4675.705153824926	18261.0	167.19877383546586	2012.0	0.0035166003649078357	111.017567101	0.0	48.808431827	-103.31969664799999	1664095.0	35.0	57225.0	8458.34
33061016960000	110.0	0.3125	1.833627654564883	6117.926925934161	1795.5347437947314	63445.0	229.82049590030215	2011.0	0.0029421730952191028	90.1665663025	1.0	48.2293824291	-102.45935581100001	1406025.0	18.0	11218.0	9904.34
33061015780000	80.0	0.375	4.534562068538732	10696.733061949419	2548.1314253438413	56852.0	400.905302129552	2011.0	0.0020567027215308135	85.0559178033	1.0	48.5163339032	-102.380711876	4288377.0	22.0	48505.0	8906.18
33025006540000	60.0	0.125		7925.494660679206	2372.4974569135684	46439.0		2007.0		89.7458531953	1.0	47.359258106400006	-102.681184053				10577.23
33105020990000	60.0		7.669637864157547	10112.602625276544	2316.2359389011267	67193.0	382.1726357901176	2011.0	0.0031643683812924385	131.39595646700002	1.0	48.182913118500004	-103.82278139799999	3864760.0	32.0	77560.0	10605.34
33061008070000	140.0			5851.000590576508	3034.8314484663865	19250.0		2008.0	0.00170910938141175	90.9001178969	1.0	48.3142605496	-102.635556514		10.0		10271.34
33025016210000	80.0	0.15625	5.157949287066736	10664.12190944217	358.5054000348486	60365.0	266.7251016214974	2012.0	0.002813171141023581	108.55082802700001	0.0	47.5177088899	-102.946309395	2844389.0	30.0	55005.0	11414.38
33013015110000	90.0	0.53125	1.8637782237917517	10168.055275077342	13604.53170452541	8911.0	115.14905931617234	2010.0	0.0017702500146826834	179.305034921	1.0	48.9804970695	-102.701694459	1170842.0	18.0	18951.0	7393.26
33105027940000	80.0	0.4375	3.508397816074924	10558.950820874892	5181.943276356237	18529.0	285.29160246154083	2012.0	0.0028411913748750905	121.89971091299999	1.0	48.4591228083	-103.811267463	3012380.0	30.0	37045.0	9872.56
33105023750000	80.0	0.75	3.6649307533698736	9971.266160049025	2752.516927093679	36459.0	298.73437858220353	2012.0	0.0030086449923680007	110.864287834	1.0	48.4027887632	-103.91135540399999	2978760.0	30.0	36544.0	10183.2
33053031830000	90.0	0.4375	5.791671962969708	6473.432929163307	2244.957997737789	79691.0	373.3513618580707	2010.0	0.0030895508177583	124.056010828	0.0	47.991327442	-102.80174092899999	2416865.0	20.0	37492.0	10641.3
33023008430000	110.0		4.349503978729605	10082.069177186546	4756.843053000606	56038.0	307.7542858980712	2012.0	0.002975579662544198	88.94246053149998	1.0	48.721117205	-103.229893644	3102800.0	30.0	43852.0	9051.08
33105029010000	90.0	0.53125	9.465939204382206	9505.554394258597	272.45734885669856	80086.0	415.22470297828943	2012.0	0.002945646181027815	108.965687175	1.0	48.106615375	-103.27827610700001	3946941.0	28.0	89979.0	11007.88
33053030020000	70.0	0.34375	4.4348036763988725	9511.807754757981	7844.8977990186895	34631.0	216.20937397218523	2010.0	0.0018923847563041914	101.52058494	1.0	47.5000635605	-103.115015967	2056542.0	18.0	42183.0	10976.68
33105030280000	80.0		8.478235328300856	10818.760797287592	289.92257379456026	40172.0	339.79215077217117	2013.0	0.002865392865305989	165.732732652	0.0	48.3435173983	-103.57099908200001	3676130.0	31.0	91724.0	10411.47
33025008790000	60.0	0.1875		9657.363062014347	6966.558021032517	26280.0		2009.0		78.8179012513	1.0	47.3685392437	-102.88454008				10907.92
33105021210000	100.0	0.703125	4.129337002509257	9923.384789156147	5646.4331930302105	57165.0	439.56775764319934	2011.0	0.003829338558102149	130.366073149	1.0	48.4025036344	-103.20095354700001	4362000.0	38.0	40977.0	10392.94
33053050260000	90.0	0.40625	3.6185843692066895	10911.725683670154	271.1178238564152	102136.0	226.0094389735896	2013.0	0.0032075586405529728	112.54156034799999	0.0	48.0227267437	-102.826150182	2466153.0	35.0	39485.0	10528.18
