api	bakken_isopach_ft	bh_lat	bh_lng	choke_size	data_group	legs	mean_tvd	min_tvd	production_liquid_180	std_tvd	surface_lat	surface_lng	td	total_lbs_proppant	total_num_stages	total_volume_bbls	tvd	length	stage_spacing	spud_year	shortest_dist	target_formation
33013014160000	110.0	48.591411	-102.648881	0.28125	TEST	2.0	9186.43634518	8718.39	7352.0	78.8404052974	48.6028899796	-102.666213578	15000.0		10.0		9210.69	5919.793165816393	0.0016892482084922488	2008.0	46.11333076708115	1.0
33061016500000	90.0	47.872869	-102.342271		TEST	2.0	9729.24436202	8841.4	117006.0	134.213925504	47.875254168199994	-102.290598546	22166.0	4182144.0	41.0	56603.0	9826.66	12677.87390850461	0.003233980736509475	2011.0	6.221825034015992	1.0
33053035390000	120.0	48.0081	-102.677175		TEST	2.0	10629.0526316	10195.16	42581.0	126.24469213799999	48.023100121899994	-102.677834437	15955.0	1422043.0	15.0	25820.0	10709.3	5476.14816315687	0.0027391515994616283	2011.0	0.05345682700058563	1.0
33025016400000	60.0	47.443467	-102.997911	0.46875	TEST	2.0	11119.1459701	10480.65	61311.0	167.57027294	47.4163428229	-103.00163081299999	20789.0	2029941.0	34.0	41353.0	11223.59	9940.546542205588	0.0034203350747006463	2012.0	12.131729625205232	1.0
33105027030000	80.0	48.431456	-103.84939	0.5	TEST	2.0	10041.4806475	9407.93	30962.0	162.811753558	48.4603773104	-103.850174175	20378.0	2780360.0	30.0	39206.0	10173.97	10555.55058103238	0.002842106602559226	2012.0	16.11545418949271	1.0
33023007160000	80.0	48.634291	-103.873266		TEST	2.0	8940.09957143	8283.96	18610.0	154.470880108	48.6632132171	-103.874773054	19340.0	4144329.0	32.0	59919.0	9065.39	10560.426830978158	0.003030180551616587	2011.0	28.35946595066167	1.0
33025018800000	40.0	47.00887	-102.936087	0.40625	TEST	2.0	10487.4489437	9870.4	41452.0	145.95944497899998	46.982980362	-102.93352715200001	19766.0	4364350.0	40.0		10596.85	9468.997303740867	0.004224312112138569	2013.0	13.29932142314511	1.0
33053047200000	90.0	47.704148	-103.277138	0.53125	TEST	2.0	11216.1012593	10760.5	34526.0	99.1527213532	47.733098633500006	-103.27908129	21678.0	3763407.0	30.0	93795.0	11214.43	10575.311207085108	0.0028367959497873686	2013.0	1.7588345260253815	0.0
33105022390000	70.0	48.22588	-103.679097		TEST	2.0	10657.3561074	10184.03	73552.0	97.92256573510001	48.19836430350001	-103.672627104	20950.0	4035790.0	39.0	70981.0	10670.38	10163.423242201867	0.003837289766508907	2011.0	3.5892508161442827	1.0
33025010860000	80.0	47.645349	-102.768849	0.375	TEST	2.0	10702.8961811	10143.08	74351.0	95.1291825572	47.616112442799995	-102.763865846	21550.0	2611608.0	26.0	70803.0	10750.89	10739.030821957555	0.0024210750887164894	2012.0	4.495967872627131	1.0
33023006620000	100.0	48.865965	-103.510447	0.375	TEST	2.0	8442.653	7993.38	36733.0	118.004438811	48.878642456	-103.52865651799999	14600.0	14678.0	16.0	40824.0	8514.19	6364.295602257312	0.002514025274741334	2010.0	12.7825262331582	0.0
33053036200000	40.0	47.951788	-104.027743		TEST	4.0	10037.6972973	9583.65	68772.0	220.497886043	47.950050875	-104.029507632	20309.0	3752480.0	35.0	90323.0	10290.9			2012.0	15.300360912187664	0.0
33061016400000	110.0	47.948617	-102.532125	0.25	TEST	2.0	10335.079646	9863.18	64614.0	125.10988989100001	47.9334852295	-102.532311533	15796.0	1823902.0	19.0	25299.0	10380.13	5522.010740075899	0.003440775633069277	2011.0	6.083360115392078	1.0
33061011490000	90.0	47.93284	-102.219126	0.5	TEST	2.0	9418.54975	8530.08	15190.0	296.706625149	47.920700573599994	-102.205717335	14694.0		13.0		9619.39	5511.2399230037345	0.0023588158348429775	2010.0	6.434799414446456	1.0
33013016660000	120.0	48.633789	-102.815167	0.4375	TEST	2.0	9243.97358779	8759.94	44996.0	104.603700532	48.6629922792	-102.814114319	19717.0	3746070.0	30.0	58874.0	9330.71	10659.760267313883	0.0028143222030976873	2012.0	1.5993365659489598	1.0
33061025450000	120.0	47.997014	-102.556042	0.25	TEST	2.0	10299.0157317	9742.94	97318.0	126.053556446	47.998274216800006	-102.51285684700001	20826.0	5277970.0	35.0	56483.0	10409.58	10555.296843922852	0.003315870744094804	2013.0	0.10528495346063677	1.0
33105021580000	80.0	48.373672	-103.93338	0.375	TEST	2.0	10251.8833835	9621.41	37733.0	144.610261899	48.401134832	-103.933263467	20085.0	3994127.0	33.0	69767.0	10342.59	10021.661695725716	0.0032928670914998707	2011.0	13.424385395519012	1.0
33105027590000	80.0	48.082726	-103.512901	1.0	TEST	2.0	10985.4663281	10497.41	85628.0	94.3639077742	48.1100120488	-103.514141209	20720.0	3803760.0	26.0	69127.0	11002.4	9961.69770321458	0.002609996887539556	2012.0	1.3224983808137634	1.0
33023005380000	100.0	48.866787	-103.4376	0.40625	TEST	2.0	8413.59290323	7913.68	20748.0	103.97959134700001	48.87925591760001	-103.43809876899999	12900.0				8471.92	4551.6798495178655		2008.0	15.808683669256883	1.0
33061017840000	120.0	48.092163	-102.524704	0.625	TEST	2.0	10410.6458333	9959.04	21546.0	101.30090276799999	48.085454819	-102.483965625	20532.0	1775460.0	28.0	26962.0	10478.99	10227.483522476714	0.002737721350365906	2011.0	2.0252760030305876	1.0
33053042190000	90.0	47.991514	-102.946329	0.5	TEST	2.0	10471.2241085	10036.22	76698.0	98.97901413790001	47.9639471292	-102.945547187	20433.0	1958800.0	20.0	33479.0	10421.12	10061.400062487655	0.001987794926728622	2012.0	1.685461727579743	1.0
33061010320000	110.0	47.87334	-102.498855	0.265625	TEST	4.0	9987.68076923	9528.56	55509.0	223.678252079	47.87552829720001	-102.497841806	18875.0				10244.93			2009.0	12.913045781189311	1.0
33023006530000	110.0	48.662751	-103.153555	0.46875	TEST	2.0	9215.25592308	8710.49	57983.0	127.114414717	48.6905967082	-103.154242844	19140.0	3219998.0	24.0	49154.0	9331.97	10162.691088217558	0.0023615792108278456	2010.0	20.213978945851057	1.0
33025017450000	90.0	47.532493	-103.025624	0.4375	TEST	2.0	11170.5456164	10310.25	73141.0	196.940452157	47.560566208500006	-103.025947101	21185.0	1879976.0	30.0	47109.0	11247.48	10244.667075240195	0.0029283528473565963	2012.0	2.6770713344242183	1.0
33105023200000	100.0	48.429652	-103.265304	0.59375	TEST	2.0	10565.2611364	9993.13	36815.0	128.719313858	48.4023698842	-103.263871916	20485.0	2112738.0	38.0	45186.0	10572.45	9961.715971207423	0.00381460384032553	2012.0	19.586262768898067	1.0
33025017910000	80.0	47.560047	-102.473601		TEST	2.0	10205.2021026	9481.03	122838.0	123.83320288	47.58905581649999	-102.466923039	20882.0	2326670.0	12.0	56709.0	10234.71	10712.674698644829	0.0011201684301603988	2012.0	1.2758173595139646	1.0
33053046140000	70.0	47.704202	-103.393008	0.75	TEST	2.0	11012.6223016	10542.89	61177.0	108.218117928	47.73155676060001	-103.39267748600001	20811.0	2972236.0	30.0	38985.0	11054.01	9982.514742403153	0.0030052547653716677	2013.0	2.4820154142992763	1.0
33061014000000	120.0	48.489071	-102.792901	0.40625	TEST	2.0	9724.88154088	9116.11	39121.0	98.1000024257	48.516066601000006	-102.793381091	19258.0	2416331.0	24.0	63854.0	9776.17	9851.805812803848	0.002436101609799142	2011.0	19.372911097369784	1.0
33061018830000	100.0	47.875805	-102.637447	0.34375	TEST	2.0	10707.54255	10281.94	102140.0	74.7626931765	47.8481737501	-102.63250536299999	21171.0	2134927.0	30.0	30520.0	10701.37	10155.40532501486	0.0029540918397519596	2012.0	0.7759522301522888	1.0
33061005680000	120.0	48.054609	-102.420006	0.375	TEST	4.0	10271.5901187	9512.1	98709.0	104.17854788700001	48.0655023917	-102.459615961	20515.0				10232.55	10446.445767698906		2007.0	5.469318130478343	1.0
33053032360000	80.0	47.619208	-103.274653	0.46875	TEST	2.0	11170.8491892	10634.77	39235.0	118.24241027299999	47.644801045600005	-103.274575864	20333.0	1421320.0	30.0	40860.0	11204.93	9339.32652894293	0.0032122230555949463	2010.0	27.80980032862325	1.0
33053052050000	90.0	48.040743	-102.871898	0.59375	TEST	2.0	10264.1666507	9704.69	82736.0	108.03378596700001	48.0497811219	-102.89360471399999	16331.0	2639280.0	22.0	37391.0	10349.67	6238.697566303463	0.0035263770628707336	2013.0	0.6760387293628307	1.0
33053038260000	60.0	47.905326	-103.510088		TEST	2.0	10925.434846200002	10436.03	89291.0	113.377085761	47.878067960200006	-103.512310365	20800.0		39.0	73157.0	10977.63	9961.743070433564	0.003914977501854262	2012.0	8.2014592846327	1.0
33053030660000	90.0	47.990581	-102.935104	0.28125	TEST	2.0	10472.0102208	9954.0	38465.0	79.4142455394	47.9639451253	-102.934903661	19982.0	1412620.0	19.0	43716.0	10444.26	9719.975308536857	0.001954737475856825	2010.0	4.008011668503018	1.0
33061011400000	100.0	47.963973	-102.324681	0.296875	TEST	2.0	9644.63173333	9185.28	70051.0	134.01436939200002	47.976932939300006	-102.32446000600001	14156.0	1855100.0	19.0	23814.0	9714.48	4729.5950941322335	0.004017257211631568	2010.0	6.379182464298964	1.0
33105032510000	110.0	48.604895	-102.945113	0.40625	TEST	2.0	9268.17171875	8817.26	68773.0	102.749296919	48.6324433988	-102.947304032	19192.0	5642137.0	30.0	77459.0	9345.18	10066.731889898825	0.002980113141793579	2013.0	1.4235894896623735	1.0
33061007990000	90.0	48.370385	-102.414971		TEST	2.0	9208.13102362	8558.43	33818.0	163.89561588200002	48.3571520977	-102.391304334	16540.0				9278.24	7499.506446292435		2008.0	16.40352298725611	1.0
33053053040000	70.0	47.934471	-103.502815	0.34375	TEST	2.0	11015.8555556	10574.31	61763.0	96.9869626859	47.9070163681	-103.50170681899999	20861.0	5874800.0	30.0	125213.0	11053.14	10022.29430150149	0.0029933265874566815	2014.0	4.725760999565783	0.0
33105032880000	100.0	48.51795900000001	-102.909151	0.75	TEST	2.0	9431.01809524	8944.81	68259.0	97.92442847219999	48.5453437492	-102.91167908799999	19243.0	3418620.0	40.0	70103.0	9486.14	10011.784301178877	0.003995291827780393	2013.0	1.1689658800046976	1.0
33025018270000	70.0	47.5015	-102.50783	0.3125	TEST	2.0	10579.430229	10084.74	58326.0	104.027416604	47.4741104642	-102.507051644	20327.0	2588820.0	30.0	21756.0	10659.82	9996.717698227345	0.003000985013843065	2013.0	1.2022145679302185	1.0
33105019980000	80.0	48.285193	-103.528968		TEST	2.0	10501.2200602	9926.06	54124.0	126.22073391200001	48.3129260488	-103.53330425799999	21515.0	3519400.0	32.0	66040.0	10583.75	10174.827386944211	0.0031450164983693654	2011.0	3.8694040002957957	1.0
33061021530000	120.0	48.024653	-102.410066	0.75	TEST	2.0	10167.1043548	9674.64	68167.0	115.051571524	48.027310794899996	-102.438113794	17000.0	1773928.0	22.0	24155.0	10176.75	6913.525695725547	0.0031821679658472993	2012.0	4.422707390385832	1.0
